City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,st. john's,47.5649,-52.7093,13.42,99,100,6.17,CA,1731466828
1,villa gesell,-37.2639,-56.973,13.38,66,13,4.01,AR,1731466806
2,invercargill,-46.4,168.35,17.23,64,2,2.24,NZ,1731466931
3,bilibino,68.0546,166.4372,-26.38,99,39,0.77,RU,1731466932
4,ancud,-41.8697,-73.8203,10.06,94,76,2.13,CL,1731466815
5,port-aux-francais,-49.35,70.2167,3.61,70,26,7.55,TF,1731466914
6,adamstown,-25.066,-130.1015,21.08,81,100,5.07,PN,1731466935
7,arkalyk,50.2486,66.9114,-9.89,96,100,5.93,KZ,1731466936
8,iqaluit,63.7506,-68.5145,-15.15,77,75,3.09,CA,1731466937
9,rongelap,11.1635,166.8941,28.5,72,10,7.22,MH,1731466938
10,antsohihy,-14.8796,47.9875,24.61,68,3,2.47,MG,1731466939
11,talnakh,69.4865,88.3972,-23.51,99,99,1.13,RU,1731466940
12,ola,59.5833,151.2833,-12.69,70,97,5.47,RU,1731466941
13,bamboo flat,11.7,92.7167,28.05,89,40,2.06,IN,1731466942
14,wailua homesteads,22.0669,-159.378,25.07,80,49,0.89,US,1731466943
15,dudinka,69.4058,86.1778,-24.82,97,100,3.23,RU,1731466945
16,afaahiti,-17.75,-149.2833,23.87,77,45,7.53,PF,1731466946
17,hermanus,-34.4187,19.2345,14.33,80,100,6.81,ZA,1731466901
18,kodiak,57.79,-152.4072,0.62,62,0,5.94,US,1731466948
19,broken hill,-31.95,141.4333,24.9,31,0,6.9,AU,1731466949
20,aasiaat,68.7098,-52.8699,-6.41,74,100,8.06,GL,1731466950
21,georgetown,5.4112,100.3354,30.96,78,20,3.09,MY,1731466831
22,walvis bay,-22.9575,14.5053,13.53,94,10,2.57,,1731466953
23,port elizabeth,-33.918,25.5701,17.16,85,0,8.23,ZA,1731466926
24,okhotsk,59.3833,143.3,-13.71,65,19,7.8,RU,1731466955
25,whitehorse,60.7161,-135.0538,-4.57,93,100,1.54,CA,1731466923
26,uturoa,-16.7333,-151.4333,26.26,75,94,7.41,PF,1731466957
27,college,64.8569,-147.8028,-14.91,84,98,0.75,US,1731466958
28,puerto natales,-51.7236,-72.4875,9.57,74,86,6.3,CL,1731466959
29,la'ie,21.6477,-157.9253,26.66,76,35,4.92,US,1731466960
30,cosala,24.4125,-106.6908,19.47,52,99,0.94,MX,1731466962
31,heunghae,36.1125,129.3522,16.36,59,80,4.49,KR,1731466918
32,laguna,38.421,-121.4238,11.65,79,0,0.0,US,1731466745
33,waitangi,-43.9535,-176.5597,12.68,72,1,3.13,NZ,1731466965
34,grytviken,-54.2811,-36.5092,-2.13,79,96,3.73,GS,1731466966
35,kingscliff,-28.2667,153.5667,24.89,83,100,6.17,AU,1731466967
36,hauterive,46.0901,3.4459,2.08,97,0,1.42,FR,1731466968
37,ma'rib,15.4591,45.3253,16.96,22,33,1.1,YE,1731466969
38,kirakira,-10.4544,161.9205,29.4,76,89,4.21,SB,1731466970
39,port saint john's,-31.6229,29.5448,18.73,81,5,6.05,ZA,1731466971
40,edinburgh of the seven seas,-37.0676,-12.3116,16.32,92,97,7.15,SH,1731466972
41,lebu,-37.6167,-73.65,11.92,86,0,8.69,CL,1731466973
42,papatowai,-46.5619,169.4708,15.75,63,4,3.73,NZ,1731466974
43,ushuaia,-54.8,-68.3,6.81,93,20,3.09,AR,1731466801
44,khandyga,62.6667,135.6,-20.92,87,25,1.39,RU,1731466976
45,misantla,19.9333,-96.8333,21.39,95,25,1.11,MX,1731466977
46,kingston,17.997,-76.7936,26.53,89,75,4.12,JM,1731466978
47,hami,42.8,93.45,9.49,48,36,2.62,CN,1731466979
48,an nuhud,12.7,28.4333,22.23,23,0,6.73,SD,1731466981
49,hithadhoo,-0.6,73.0833,28.53,74,97,7.42,MV,1731466982
50,hawaiian paradise park,19.5933,-154.9731,24.93,80,2,1.34,US,1731466983
51,saint-pierre,-21.3393,55.4781,23.82,53,26,2.06,RE,1731466984
52,sosua,19.7667,-70.5167,24.95,94,40,0.0,DO,1731466805
53,enriquillo,17.9,-71.2333,24.01,86,100,2.09,DO,1731466986
54,kerikeri,-35.2268,173.9474,22.17,79,93,4.47,NZ,1731466987
55,hanceville,34.0607,-86.7675,14.53,61,0,2.46,US,1731466988
56,ilulissat,69.2167,-51.1,-2.99,59,40,8.75,GL,1731466989
57,dolinsk,47.35,142.8,1.71,44,66,4.1,RU,1731466990
58,westport,41.1415,-73.3579,5.97,52,0,3.13,US,1731466748
59,robbah,33.2797,6.9098,14.8,48,100,2.46,DZ,1731466992
60,west island,-12.1568,96.8225,27.99,78,100,5.14,CC,1731466993
61,bredasdorp,-34.5322,20.0403,16.47,73,100,6.16,ZA,1731466994
62,blackmans bay,-43.0167,147.3167,15.29,88,87,0.89,AU,1731466995
63,ribeira grande,38.5167,-28.7,16.54,91,81,2.68,PT,1731466996
64,keflavik,64.0049,-22.5624,7.24,76,75,13.89,IS,1731466999
65,mermoz boabab,14.7065,-17.4758,26.49,69,66,6.38,SN,1731467000
66,pirai do sul,-24.5261,-49.9486,13.38,97,100,0.69,BR,1731466890
67,isafjordur,66.0755,-23.124,3.05,77,16,22.94,IS,1731467002
68,alice springs,-23.7,133.8833,29.75,26,67,7.2,AU,1731467003
69,codrington,-38.2667,141.9667,17.68,60,23,9.16,AU,1731467005
70,tralee,52.2704,-9.7026,5.71,82,1,1.27,IE,1731467006
71,avarua,-21.2078,-159.775,24.03,64,40,5.14,CK,1731467007
72,lobito,-12.3481,13.5456,24.79,85,100,1.12,AO,1731467008
73,tiksi,71.6872,128.8694,-22.44,100,93,1.73,RU,1731467009
74,kununurra,-15.7667,128.7333,32.99,55,100,5.14,AU,1731467010
75,kavaratti,10.5669,72.642,28.57,68,72,2.39,IN,1731467011
76,jiwani,25.05,61.7417,26.29,56,0,1.1,PK,1731467013
77,victorica,-36.2151,-65.4359,18.41,37,12,3.51,AR,1731467014
78,grand baie,-20.0182,57.5802,24.69,84,13,0.45,MU,1731467015
79,jamestown,42.097,-79.2353,-0.55,91,0,2.57,US,1731466884
80,ust-nera,64.5667,143.2,-27.5,97,80,1.01,RU,1731467017
81,klaksvik,62.2266,-6.589,8.66,79,5,14.16,FO,1731467018
82,chandia,23.65,80.7,22.02,52,15,1.35,IN,1731466837
83,malpica,43.3228,-8.8105,11.24,96,41,8.63,ES,1731467020
84,kota belud,6.351,116.4305,29.71,70,55,2.7,MY,1731467021
85,ust'-ilimsk,58.0006,102.6619,-9.76,80,100,5.31,RU,1731467022
86,longyearbyen,78.2186,15.6401,2.91,70,40,16.98,SJ,1731467023
87,udachny,66.4167,112.4,-18.4,99,100,1.59,RU,1731466998
88,nieuw amsterdam,5.8833,-55.0833,25.45,88,42,4.07,SR,1731467025
89,pisco,-13.7,-76.2167,19.03,82,0,2.57,PE,1731467026
